  Measurement Number     Measurement type
               14973           CVSweepNew

      Measurement ID             SeriesID
       740024.682203                    0

         MeasureMode                Start                 Stop
                   1                   -3                    3

                Step           Sweep mode            Frequency
                0.05                    3               100000

            AC level                Abort          After abort
1.1773e+00 1.3059e+03 -3.4232e+04 3.3523e-02 1.0000e+05
1.2264e+00 1.3015e+03 -3.3861e+04 3.3519e-02 1.0000e+05
1.2742e+00 1.2965e+03 -3.3618e+04 3.3512e-02 1.0000e+05
1.3222e+00 1.2914e+03 -3.3620e+04 3.3510e-02 1.0000e+05
1.3707e+00 1.2915e+03 -3.3302e+04 3.3510e-02 1.0000e+05
1.4181e+00 1.2890e+03 -3.3603e+04 3.3507e-02 1.0000e+05
1.4673e+00 1.2833e+03 -3.3353e+04 3.3500e-02 1.0000e+05
1.5149e+00 1.2786e+03 -3.3413e+04 3.3495e-02 1.0000e+05
1.5631e+00 1.2752e+03 -3.3270e+04 3.3493e-02 1.0000e+05
1.6107e+00 1.2732e+03 -3.3497e+04 3.3490e-02 1.0000e+05
1.6585e+00 1.2709e+03 -3.2958e+04 3.3486e-02 1.0000e+05
1.7076e+00 1.2705e+03 -3.2960e+04 3.3488e-02 1.0000e+05
1.7551e+00 1.2702e+03 -3.3245e+04 3.3487e-02 1.0000e+05
1.8035e+00 1.2692e+03 -3.2804e+04 3.3488e-02 1.0000e+05
1.8510e+00 1.2695e+03 -3.2967e+04 3.3488e-02 1.0000e+05
1.8990e+00 1.2692e+03 -3.2712e+04 3.3487e-02 1.0000e+05
1.9479e+00 1.2692e+03 -3.2807e+04 3.3485e-02 1.0000e+05
1.9956e+00 1.2653e+03 -3.2882e+04 3.3484e-02 1.0000e+05
2.0436e+00 1.2629e+03 -3.2263e+04 3.3482e-02 1.0000e+05
2.0941e+00 1.2627e+03 -3.2934e+04 3.3480e-02 1.0000e+05
2.1415e+00 1.2640e+03 -3.3042e+04 3.3482e-02 1.0000e+05
2.1898e+00 1.2637e+03 -3.3370e+04 3.3482e-02 1.0000e+05
2.2382e+00 1.2667e+03 -3.2892e+04 3.3484e-02 1.0000e+05
2.2862e+00 1.2678e+03 -3.2810e+04 3.3487e-02 1.0000e+05
2.3345e+00 1.2749e+03 -3.3739e+04 3.3493e-02 1.0000e+05
2.3818e+00 1.2687e+03 -3.2729e+04 3.3488e-02 1.0000e+05
2.4303e+00 1.2584e+03 -3.2630e+04 3.3475e-02 1.0000e+05
2.4784e+00 1.2576e+03 -3.2621e+04 3.3476e-02 1.0000e+05
2.5259e+00 1.2522e+03 -3.1923e+04 3.3471e-02 1.0000e+05
2.5736e+00 1.2481e+03 -3.3141e+04 3.3465e-02 1.0000e+05
2.6215e+00 1.2491e+03 -3.2218e+04 3.3466e-02 1.0000e+05
2.6705e+00 1.2513e+03 -3.2307e+04 3.3468e-02 1.0000e+05
2.7184e+00 1.2485e+03 -3.2804e+04 3.3463e-02 1.0000e+05
2.7656e+00 1.2472e+03 -3.1878e+04 3.3463e-02 1.0000e+05
2.8141e+00 1.2461e+03 -3.2379e+04 3.3461e-02 1.0000e+05
2.8613e+00 1.2424e+03 -3.1974e+04 3.3459e-02 1.0000e+05
2.9105e+00 1.2406e+03 -3.1808e+04 3.3457e-02 1.0000e+05
2.9100e+00 1.2384e+03 -3.1630e+04 3.3453e-02 1.0000e+05
2.8610e+00 1.2366e+03 -3.2130e+04 3.3450e-02 1.0000e+05
2.8130e+00 1.2341e+03 -3.3131e+04 3.3450e-02 1.0000e+05
2.7647e+00 1.2358e+03 -3.2133e+04 3.3451e-02 1.0000e+05
2.7174e+00 1.2335e+03 -3.2228e+04 3.3450e-02 1.0000e+05
2.6693e+00 1.2350e+03 -3.1560e+04 3.3450e-02 1.0000e+05
2.6205e+00 1.2344e+03 -3.2799e+04 3.3452e-02 1.0000e+05
2.5726e+00 1.2361e+03 -3.2607e+04 3.3453e-02 1.0000e+05
2.5248e+00 1.2365e+03 -3.2453e+04 3.3452e-02 1.0000e+05
2.4770e+00 1.2353e+03 -3.2198e+04 3.3452e-02 1.0000e+05
2.4291e+00 1.2358e+03 -3.2033e+04 3.3452e-02 1.0000e+05
2.3802e+00 1.2361e+03 -3.2013e+04 3.3452e-02 1.0000e+05
2.3322e+00 1.2362e+03 -3.2183e+04 3.3455e-02 1.0000e+05
2.2842e+00 1.2367e+03 -3.2350e+04 3.3452e-02 1.0000e+05
2.2366e+00 1.2370e+03 -3.2295e+04 3.3451e-02 1.0000e+05
2.1888e+00 1.2378e+03 -3.2442e+04 3.3454e-02 1.0000e+05
2.1396e+00 1.2384e+03 -3.2295e+04 3.3454e-02 1.0000e+05
2.0919e+00 1.2385e+03 -3.2838e+04 3.3455e-02 1.0000e+05
2.0443e+00 1.2397e+03 -3.2362e+04 3.3456e-02 1.0000e+05
1.9925e+00 1.2403e+03 -3.2733e+04 3.3458e-02 1.0000e+05
1.9456e+00 1.2415e+03 -3.2604e+04 3.3457e-02 1.0000e+05
1.8969e+00 1.2426e+03 -3.2685e+04 3.3460e-02 1.0000e+05
1.8493e+00 1.2434e+03 -3.2694e+04 3.3461e-02 1.0000e+05
1.8016e+00 1.2456e+03 -3.2720e+04 3.3462e-02 1.0000e+05
1.7539e+00 1.2470e+03 -3.2478e+04 3.3462e-02 1.0000e+05
1.7060e+00 1.2483e+03 -3.2727e+04 3.3464e-02 1.0000e+05
1.6573e+00 1.2498e+03 -3.2595e+04 3.3466e-02 1.0000e+05
1.6093e+00 1.2515e+03 -3.2883e+04 3.3468e-02 1.0000e+05
1.5615e+00 1.2543e+03 -3.3035e+04 3.3471e-02 1.0000e+05
1.5139e+00 1.2566e+03 -3.2851e+04 3.3475e-02 1.0000e+05
1.4660e+00 1.2593e+03 -3.3186e+04 3.3477e-02 1.0000e+05
1.4172e+00 1.2623e+03 -3.2999e+04 3.3480e-02 1.0000e+05
1.3691e+00 1.2659e+03 -3.3306e+04 3.3483e-02 1.0000e+05
1.3214e+00 1.2697e+03 -3.3418e+04 3.3486e-02 1.0000e+05
1.2732e+00 1.2742e+03 -3.3471e+04 3.3491e-02 1.0000e+05
1.2254e+00 1.2791e+03 -3.3771e+04 3.3497e-02 1.0000e+05
1.1763e+00 1.2845e+03 -3.3599e+04 3.3503e-02 1.0000e+05
1.1285e+00 1.2909e+03 -3.4044e+04 3.3508e-02 1.0000e+05
1.0805e+00 1.2979e+03 -3.4246e+04 3.3515e-02 1.0000e+05
1.0325e+00 1.3068e+03 -3.4288e+04 3.3524e-02 1.0000e+05
9.8475e-01 1.3167e+03 -3.4452e+04 3.3532e-02 1.0000e+05
9.3530e-01 1.3285e+03 -3.4402e+04 3.3543e-02 1.0000e+05
8.8766e-01 1.3429e+03 -3.4801e+04 3.3556e-02 1.0000e+05
8.3936e-01 1.3569e+03 -3.4913e+04 3.3570e-02 1.0000e+05
7.9115e-01 1.3752e+03 -3.5207e+04 3.3585e-02 1.0000e+05
7.4294e-01 1.3978e+03 -3.5452e+04 3.3608e-02 1.0000e+05
6.9408e-01 1.4269e+03 -3.5913e+04 3.3631e-02 1.0000e+05
6.4586e-01 1.4668e+03 -3.6478e+04 3.3663e-02 1.0000e+05
5.9741e-01 1.5261e+03 -3.7419e+04 3.3708e-02 1.0000e+05
5.4934e-01 1.6184e+03 -3.8928e+04 3.3770e-02 1.0000e+05
5.0063e-01 1.7790e+03 -4.1757e+04 3.3865e-02 1.0000e+05
4.5174e-01 2.0985e+03 -4.7103e+04 3.4006e-02 1.0000e+05
4.0227e-01 2.8289e+03 -6.0140e+04 3.4216e-02 1.0000e+05
3.5352e-01 4.7888e+03 -9.7283e+04 3.4465e-02 1.0000e+05
3.0337e-01 1.0552e+04 -2.2723e+05 3.4665e-02 1.0000e+05
2.5430e-01 2.3538e+04 -9.7854e+05 3.4757e-02 1.0000e+05
2.0372e-01 3.6934e+04 3.0216e+06 3.4784e-02 1.0000e+05
1.5376e-01 4.3081e+04 1.1123e+06 3.4792e-02 1.0000e+05
1.0395e-01 4.6696e+04 8.0788e+05 3.4794e-02 1.0000e+05
5.4272e-02 5.0274e+04 6.5925e+05 3.4798e-02 1.0000e+05
4.5360e-03 5.4318e+04 5.8042e+05 3.4800e-02 1.0000e+05
-4.5144e-02 5.8753e+04 5.3951e+05 3.4804e-02 1.0000e+05
-9.5024e-02 6.3378e+04 5.0151e+05 3.4804e-02 1.0000e+05
-1.4492e-01 6.8260e+04 4.8521e+05 3.4807e-02 1.0000e+05
-1.9486e-01 7.3544e+04 4.7479e+05 3.4809e-02 1.0000e+05
-2.4566e-01 7.8847e+04 4.6995e+05 3.4811e-02 1.0000e+05
-2.9528e-01 8.5019e+04 4.6272e+05 3.4812e-02 1.0000e+05
-3.4522e-01 9.1195e+04 4.6212e+05 3.4814e-02 1.0000e+05
-3.9516e-01 9.7542e+04 4.6531e+05 3.4815e-02 1.0000e+05
-4.4718e-01 1.0426e+05 4.6937e+05 3.4818e-02 1.0000e+05
-4.9573e-01 1.1188e+05 4.6904e+05 3.4817e-02 1.0000e+05
-5.4486e-01 1.1945e+05 4.7986e+05 3.4815e-02 1.0000e+05
-5.9436e-01 1.2775e+05 4.9665e+05 3.4818e-02 1.0000e+05
-6.4188e-01 1.3631e+05 5.0215e+05 3.4820e-02 1.0000e+05
-6.9332e-01 1.4595e+05 5.0648e+05 3.4820e-02 1.0000e+05
-7.4435e-01 1.5551e+05 5.1002e+05 3.4822e-02 1.0000e+05
-7.9398e-01 1.6580e+05 5.3661e+05 3.4822e-02 1.0000e+05
-8.4390e-01 1.7565e+05 5.3242e+05 3.4824e-02 1.0000e+05
-8.9378e-01 1.8709e+05 5.5653e+05 3.4823e-02 1.0000e+05
-9.4362e-01 1.9955e+05 5.8067e+05 3.4824e-02 1.0000e+05
-9.9429e-01 2.1354e+05 5.8636e+05 3.4826e-02 1.0000e+05
-1.0444e+00 2.2643e+05 6.0102e+05 3.4824e-02 1.0000e+05
-1.0940e+00 2.3794e+05 6.0128e+05 3.4825e-02 1.0000e+05
-1.1438e+00 2.5323e+05 6.3244e+05 3.4828e-02 1.0000e+05
-1.1939e+00 2.6806e+05 6.4047e+05 3.4826e-02 1.0000e+05
-1.2449e+00 2.8256e+05 6.5677e+05 3.4825e-02 1.0000e+05
-1.2945e+00 3.0087e+05 6.9618e+05 3.4827e-02 1.0000e+05
-1.3445e+00 3.1959e+05 6.9398e+05 3.4828e-02 1.0000e+05
-1.3943e+00 3.3796e+05 7.3078e+05 3.4828e-02 1.0000e+05
-1.4438e+00 3.5793e+05 7.3474e+05 3.4831e-02 1.0000e+05
-1.4949e+00 3.6647e+05 7.6347e+05 3.4827e-02 1.0000e+05
-1.5446e+00 3.9579e+05 7.6600e+05 3.4828e-02 1.0000e+05
-1.5948e+00 4.1542e+05 7.8592e+05 3.4829e-02 1.0000e+05
-1.6444e+00 4.3691e+05 8.0571e+05 3.4828e-02 1.0000e+05
-1.6943e+00 4.6125e+05 8.2231e+05 3.4829e-02 1.0000e+05
-1.7453e+00 4.7848e+05 8.5052e+05 3.4829e-02 1.0000e+05
-1.7950e+00 5.1022e+05 8.7119e+05 3.4831e-02 1.0000e+05
-1.8450e+00 5.3499e+05 8.7272e+05 3.4829e-02 1.0000e+05
-1.8948e+00 5.6023e+05 8.8418e+05 3.4830e-02 1.0000e+05
-1.9444e+00 5.9055e+05 9.3337e+05 3.4829e-02 1.0000e+05
-1.9954e+00 6.0797e+05 9.4985e+05 3.4829e-02 1.0000e+05
-2.0451e+00 6.4274e+05 9.3972e+05 3.4830e-02 1.0000e+05
-2.0951e+00 6.4772e+05 9.7778e+05 3.4831e-02 1.0000e+05
-2.1446e+00 6.7565e+05 9.9003e+05 3.4830e-02 1.0000e+05
-2.1948e+00 7.0427e+05 1.0494e+06 3.4828e-02 1.0000e+05
-2.2456e+00 7.6975e+05 1.0682e+06 3.4831e-02 1.0000e+05
-2.2957e+00 7.8503e+05 1.1085e+06 3.4831e-02 1.0000e+05
-2.3451e+00 8.0865e+05 1.1040e+06 3.4829e-02 1.0000e+05
-2.3953e+00 8.3335e+05 1.0861e+06 3.4830e-02 1.0000e+05
-2.4453e+00 8.6226e+05 1.1004e+06 3.4829e-02 1.0000e+05
-2.4959e+00 9.3600e+05 1.0887e+06 3.4830e-02 1.0000e+05
-2.5459e+00 9.4125e+05 1.1321e+06 3.4828e-02 1.0000e+05
-2.5955e+00 9.8444e+05 1.1475e+06 3.4831e-02 1.0000e+05
-2.6456e+00 1.0311e+06 1.1177e+06 3.4830e-02 1.0000e+05
-2.6951e+00 1.0499e+06 1.2236e+06 3.4830e-02 1.0000e+05
-2.7464e+00 1.0689e+06 1.2600e+06 3.4832e-02 1.0000e+05
-2.7961e+00 1.1141e+06 1.2829e+06 3.4832e-02 1.0000e+05
-2.8459e+00 1.2143e+06 1.2106e+06 3.4832e-02 1.0000e+05
-2.8958e+00 1.2637e+06 1.2627e+06 3.4831e-02 1.0000e+05
-2.9455e+00 1.2482e+06 1.3203e+06 3.4830e-02 1.0000e+05
-2.9966e+00 1.3397e+06 1.3174e+06 3.4830e-02 1.0000e+05




