  Measurement Number     Measurement type
               14972           CVSweepNew

      Measurement ID             SeriesID
       740024.681854                    0

         MeasureMode                Start                 Stop
                   1                   -2                    2

                Step           Sweep mode            Frequency
                0.05                    3               100000

            AC level                Abort          After abort
1.7977e+00 1.1656e+03 -3.1844e+04 3.3372e-02 1.0000e+05
1.7503e+00 1.1669e+03 -3.1948e+04 3.3374e-02 1.0000e+05
1.7027e+00 1.1686e+03 -3.2026e+04 3.3377e-02 1.0000e+05
1.6541e+00 1.1704e+03 -3.1874e+04 3.3377e-02 1.0000e+05
1.6062e+00 1.1723e+03 -3.2094e+04 3.3381e-02 1.0000e+05
1.5585e+00 1.1746e+03 -3.2197e+04 3.3383e-02 1.0000e+05
1.5112e+00 1.1769e+03 -3.2187e+04 3.3387e-02 1.0000e+05
1.4632e+00 1.1795e+03 -3.2307e+04 3.3387e-02 1.0000e+05
1.4146e+00 1.1828e+03 -3.2370e+04 3.3391e-02 1.0000e+05
1.3668e+00 1.1859e+03 -3.2486e+04 3.3396e-02 1.0000e+05
1.3192e+00 1.1898e+03 -3.2517e+04 3.3400e-02 1.0000e+05
1.2711e+00 1.1940e+03 -3.2626e+04 3.3406e-02 1.0000e+05
1.2235e+00 1.1990e+03 -3.2788e+04 3.3411e-02 1.0000e+05
1.1745e+00 1.2044e+03 -3.2909e+04 3.3418e-02 1.0000e+05
1.1267e+00 1.2105e+03 -3.3123e+04 3.3425e-02 1.0000e+05
1.0790e+00 1.2177e+03 -3.3283e+04 3.3432e-02 1.0000e+05
1.0310e+00 1.2259e+03 -3.3377e+04 3.3443e-02 1.0000e+05
9.8312e-01 1.2350e+03 -3.3538e+04 3.3451e-02 1.0000e+05
9.3400e-01 1.2459e+03 -3.3837e+04 3.3464e-02 1.0000e+05
8.8634e-01 1.2578e+03 -3.4083e+04 3.3475e-02 1.0000e+05
8.3826e-01 1.2718e+03 -3.4201e+04 3.3489e-02 1.0000e+05
7.9025e-01 1.2882e+03 -3.4343e+04 3.3506e-02 1.0000e+05
7.4210e-01 1.3091e+03 -3.4652e+04 3.3527e-02 1.0000e+05
6.9314e-01 1.3367e+03 -3.4900e+04 3.3552e-02 1.0000e+05
6.4526e-01 1.3746e+03 -3.5508e+04 3.3586e-02 1.0000e+05
5.9692e-01 1.4307e+03 -3.6315e+04 3.3634e-02 1.0000e+05
5.4894e-01 1.5190e+03 -3.7611e+04 3.3703e-02 1.0000e+05
5.0017e-01 1.6728e+03 -4.0146e+04 3.3803e-02 1.0000e+05
4.5134e-01 1.9804e+03 -4.5339e+04 3.3959e-02 1.0000e+05
4.0231e-01 2.6878e+03 -5.7932e+04 3.4186e-02 1.0000e+05
3.5342e-01 4.5948e+03 -9.3791e+04 3.4451e-02 1.0000e+05
3.0312e-01 1.0264e+04 -2.2021e+05 3.4659e-02 1.0000e+05
2.5425e-01 2.3188e+04 -9.4256e+05 3.4756e-02 1.0000e+05
2.0332e-01 3.6722e+04 3.1042e+06 3.4784e-02 1.0000e+05
1.5359e-01 4.2971e+04 1.0920e+06 3.4791e-02 1.0000e+05
1.0368e-01 4.6544e+04 7.9641e+05 3.4793e-02 1.0000e+05
5.4320e-02 5.0189e+04 6.5642e+05 3.4797e-02 1.0000e+05
4.3520e-03 5.4241e+04 5.8141e+05 3.4798e-02 1.0000e+05
-4.5448e-02 5.8663e+04 5.3585e+05 3.4803e-02 1.0000e+05
-9.5304e-02 6.3307e+04 5.0614e+05 3.4805e-02 1.0000e+05
-1.4513e-01 6.8346e+04 4.8558e+05 3.4805e-02 1.0000e+05
-1.9502e-01 7.3479e+04 4.7107e+05 3.4807e-02 1.0000e+05
-2.4593e-01 7.8940e+04 4.6453e+05 3.4810e-02 1.0000e+05
-2.9552e-01 8.4985e+04 4.6113e+05 3.4811e-02 1.0000e+05
-3.4570e-01 9.1212e+04 4.6094e+05 3.4814e-02 1.0000e+05
-3.9513e-01 9.7690e+04 4.6495e+05 3.4815e-02 1.0000e+05
-4.4715e-01 1.0464e+05 4.6232e+05 3.4817e-02 1.0000e+05
-4.9605e-01 1.1170e+05 4.7420e+05 3.4818e-02 1.0000e+05
-5.4486e-01 1.1957e+05 4.8088e+05 3.4817e-02 1.0000e+05
-5.9447e-01 1.2803e+05 4.9771e+05 3.4819e-02 1.0000e+05
-6.4199e-01 1.3604e+05 5.0403e+05 3.4820e-02 1.0000e+05
-6.9326e-01 1.4605e+05 5.0875e+05 3.4819e-02 1.0000e+05
-7.4435e-01 1.5543e+05 5.2663e+05 3.4822e-02 1.0000e+05
-7.9432e-01 1.6622e+05 5.3301e+05 3.4822e-02 1.0000e+05
-8.4416e-01 1.7675e+05 5.4873e+05 3.4823e-02 1.0000e+05
-8.9390e-01 1.8736e+05 5.4973e+05 3.4823e-02 1.0000e+05
-9.4365e-01 2.0041e+05 5.7125e+05 3.4824e-02 1.0000e+05
-9.9442e-01 2.1334e+05 5.8228e+05 3.4824e-02 1.0000e+05
-1.0444e+00 2.2785e+05 5.9711e+05 3.4825e-02 1.0000e+05
-1.0942e+00 2.3980e+05 6.3148e+05 3.4824e-02 1.0000e+05
-1.1440e+00 2.5388e+05 6.3109e+05 3.4825e-02 1.0000e+05
-1.1940e+00 2.6805e+05 6.3897e+05 3.4826e-02 1.0000e+05
-1.2450e+00 2.8413e+05 6.7645e+05 3.4827e-02 1.0000e+05
-1.2946e+00 3.0142e+05 6.7706e+05 3.4828e-02 1.0000e+05
-1.3446e+00 3.1692e+05 6.9560e+05 3.4827e-02 1.0000e+05
-1.3945e+00 3.3720e+05 7.1588e+05 3.4828e-02 1.0000e+05
-1.4441e+00 3.5941e+05 7.2891e+05 3.4827e-02 1.0000e+05
-1.4952e+00 3.7564e+05 7.5704e+05 3.4826e-02 1.0000e+05
-1.5447e+00 3.9430e+05 7.8089e+05 3.4828e-02 1.0000e+05
-1.5948e+00 4.1768e+05 7.6400e+05 3.4829e-02 1.0000e+05
-1.6443e+00 4.3504e+05 8.0096e+05 3.4829e-02 1.0000e+05
-1.6944e+00 4.5677e+05 8.4087e+05 3.4829e-02 1.0000e+05
-1.7452e+00 4.7594e+05 8.2828e+05 3.4829e-02 1.0000e+05
-1.7953e+00 5.0674e+05 8.6482e+05 3.4828e-02 1.0000e+05
-1.8451e+00 5.3273e+05 9.1341e+05 3.4827e-02 1.0000e+05
-1.8948e+00 5.5726e+05 8.9094e+05 3.4830e-02 1.0000e+05
-1.9446e+00 5.7791e+05 9.2176e+05 3.4831e-02 1.0000e+05
-1.9955e+00 6.1419e+05 9.6745e+05 3.4831e-02 1.0000e+05




